"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"10 Jan 2019";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"UNITI";"FR0012709160";"MLUNT";"Euronext Access Paris";"EUR";"3.66";"3.66";"3.66";"3.66";"04/07/2018 16:30";"CET";"2";"7.32"
"UPERGY";"FR0010337865";"ALUPG";"Euronext Growth Paris";"EUR";"5.20";"5.40";"5.20";"5.40";"10/01/2019 17:21";"CET";"373";"2009.55"
"UV GERMI";"FR0011898584";"ALUVI";"Euronext Growth Paris";"EUR";"3.78";"3.90";"3.78";"3.90";"10/01/2019 16:36";"CET";"791";"3048.70"
"V LANSCHOT KEMPEN";"NL0000302636";"VLK";"Euronext Amsterdam";"EUR";"20.80";"20.80";"20.50";"20.60";"10/01/2019 17:35";"CET";"34698";"715843.35"
"VAA VISTA ALEGRE";"PTVAA0AM0019";"VAF";"Euronext Lisbon";"EUR";"1.55";"1.55";"1.55";"1.55";"10/01/2019 21:30";"BST";"200";"310.00"
"VALBIOTIS";"FR0013254851";"ALVAL";"Euronext Growth Paris";"EUR";"3.45";"3.50";"3.40";"3.50";"10/01/2019 17:25";"CET";"2243";"7761.05"
"VALE";"US91912E1055";"VALE3";"Euronext Paris";"EUR";"12.81";"12.81";"12.316";"12.45";"10/01/2019 17:23";"CET";"402";"5003.926"
"VALE PREF";"US91912E2046";"VALE5";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VALEO";"FR0013176526";"FR";"Euronext Paris";"EUR";"27.21";"27.21";"26.66";"27.09";"10/01/2019 17:35";"CET";"1770863";"47736358.17"
"VALLOUREC";"FR0000120354";"VK";"Euronext Paris";"EUR";"1.9045";"1.916";"1.8305";"1.9105";"10/01/2019 17:35";"CET";"7002453";"13198579.865"
"VALNEVA";"FR0004056851";"VLA";"Euronext Paris";"EUR";"3.445";"3.465";"3.40";"3.415";"10/01/2019 17:35";"CET";"14788";"50614.59"
"VALNEVA PREF";"FR0011472943";"VLAP";"Euronext Paris";"EUR";"0.125";"0.244";"0.125";"0.17";"10/01/2019 17:35";"CET";"1160292";"220986.214"
"VALONEO";"FR0012833770";"MLVAL";"Euronext Access Paris";"EUR";"14.30";"14.30";"14.30";"14.30";"25/09/2018 16:30";"CET";"10";"143.00"
"VALUE8";"NL0010661864";"VALUE";"Euronext Amsterdam";"EUR";"4.90";"5.02";"4.88";"5.02";"10/01/2019 16:42";"CET";"10807";"53703.02"
"VALUE8 CUM PREF";"NL0009875483";"PREVA";"Euronext Amsterdam";"EUR";"25.52";"25.52";"25.52";"25.52";"07/01/2019 11:30";"CET";"1";"25.52"
"VAN DE VELDE";"BE0003839561";"VAN";"Euronext Brussels";"EUR";"27.50";"28.30";"27.10";"28.00";"10/01/2019 17:35";"CET";"14242";"395373.90"
"VASTNED";"NL0000288918";"VASTN";"Euronext Amsterdam";"EUR";"31.00";"31.60";"31.00";"31.05";"10/01/2019 17:35";"CET";"26807";"838084.40"
"VASTNED RETAIL BEL";"BE0003754687";"VASTB";"Euronext Brussels";"EUR";"41.40";"41.40";"40.60";"41.20";"10/01/2019 17:35";"CET";"5283";"216638.80"
"VELCAN HOLDINGS";"FR0010245803";"ALVEL";"Euronext Growth Paris";"EUR";"8.88";"9.02";"8.70";"9.00";"10/01/2019 16:12";"CET";"2669";"23851.80"
"VENTE UNIQUE.COM";"FR0010766667";"ALVU";"Euronext Growth Paris";"EUR";"5.40";"5.70";"5.312";"5.699";"10/01/2019 16:48";"CET";"5811";"33058.81"
"VEOLIA ENVIRON.";"FR0000124141";"VIE";"Euronext Paris";"EUR";"17.975";"18.27";"17.975";"18.25";"10/01/2019 17:35";"CET";"1464645";"26604943.675"
"VEON";"BMG9349W1038";"VEON";"Euronext Amsterdam";"EUR";"2.20";"2.30";"2.20";"2.24";"10/01/2019 17:35";"CET";"14574";"32629.88"
"VERGNET";"FR0004155240";"ALVER";"Euronext Growth Paris";"EUR";"0.255";"0.255";"0.23";"0.2395";"10/01/2019 15:17";"CET";"134863";"31773.0385"
"VERGNET BSA";"FR0013328689";"VERBS";"Euronext Growth Paris";"EUR";"0.0165";"0.0165";"0.0165";"0.0165";"10/01/2019 16:03";"CET";"98";"1.617"
"VERIZON COMM.";"US92343V1044";"VERIZ";"Traded not listed Brussels";"USD";"34.91";"34.91";"34.91";"34.91";"05/03/2012 16:30";"CET";"328";"11450.48"
"VERNEUIL FINANCE";"FR0000062465";"VRNL";"Euronext Paris";"EUR";"1.89";"1.89";"1.89";"1.89";"21/12/2018 16:31";"CET";"275";"519.75"
"VERNEY CARRON";"FR0006174496";"MLVER";"Euronext Access Paris";"EUR";"12.40";"12.40";"12.40";"12.40";"09/01/2019 11:30";"CET";"37";"458.80"
"VETOQUINOL";"FR0004186856";"VETO";"Euronext Paris";"EUR";"47.70";"47.70";"46.70";"47.20";"10/01/2019 17:35";"CET";"1841";"86786.30"
"VGP";"BE0003878957";"VGP";"Euronext Brussels";"EUR";"57.80";"58.00";"57.60";"57.80";"10/01/2019 17:35";"CET";"3502";"202680.00"
"VIALIFE";"FR0010326090";"ALVIA";"Euronext Growth Paris";"EUR";"20.00";"20.00";"20.00";"20.00";"24/12/2018 11:30";"CET";"1";"20.00"
"VICAT";"FR0000031775";"VCT";"Euronext Paris";"EUR";"43.28";"43.34";"42.88";"43.18";"10/01/2019 17:35";"CET";"20246";"874278.64"
"VIDELIO";"FR0000066680";"VDLO";"Euronext Paris";"EUR";"1.84";"1.84";"1.84";"1.84";"10/01/2019 09:00";"CET";"1";"1.84"
"VIEL ET COMPAGNIE";"FR0000050049";"VIL";"Euronext Paris";"EUR";"4.31";"4.40";"4.25";"4.40";"10/01/2019 10:01";"CET";"1207";"5205.25"
"VIKTORIA INVEST";"FR0000035719";"VI";"Euronext Paris";"EUR";"3.38";"3.38";"3.38";"3.38";"08/01/2019 16:30";"CET";"104";"351.52"
"VILMORIN & CIE";"FR0000052516";"RIN";"Euronext Paris";"EUR";"57.00";"57.00";"56.20";"56.50";"10/01/2019 17:35";"CET";"2666";"150519.10"
"VINCI";"FR0000125486";"DG";"Euronext Paris";"EUR";"72.58";"73.18";"72.30";"73.08";"10/01/2019 17:35";"CET";"961147";"70046499.52"
"VIOHALCO";"BE0974271034";"VIO";"Euronext Brussels";"EUR";"2.79";"2.79";"2.655";"2.655";"10/01/2019 16:35";"CET";"1384";"3831.52"
"VIRBAC";"FR0000031577";"VIRP";"Euronext Paris";"EUR";"122.40";"122.40";"120.80";"121.80";"10/01/2019 17:35";"CET";"3966";"481930.20"
"VISIATIV";"FR0004029478";"ALVIV";"Euronext Growth Paris";"EUR";"20.00";"20.80";"19.00";"19.82";"10/01/2019 17:35";"CET";"80141";"1588878.32"
"VISIO NERF";"FR0010033480";"MLVIS";"Euronext Access Paris";"EUR";"1.66";"1.66";"1.66";"1.66";"10/01/2019 16:30";"CET";"700";"1162.00"
"VISIODENT";"FR0000065765";"SDT";"Euronext Paris";"EUR";"2.30";"2.52";"2.30";"2.52";"09/01/2019 16:30";"CET";"155";"389.50"
"VISIOMED BSA18T2.3";"FR0013365277";"VMGBW";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VISIOMED BSA18T2.4";"FR0013372471";"VMGBX";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VISIOMED BSA2018-1";"FR0013322724";"VMGBS";"Euronext Growth Paris";"EUR";"0.0073";"0.0097";"0.0073";"0.0077";"10/01/2019 17:29";"CET";"159451";"1280.3822"
"VISIOMED BSA2018-2";"FR0013352317";"VMGBU";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VISIOMED BSA2018-3";"FR0013356441";"VMGBV";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VISIOMED GROUP";"FR0011067669";"ALVMG";"Euronext Growth Paris";"EUR";"0.0675";"0.0686";"0.0618";"0.0634";"10/01/2019 17:35";"CET";"3233212";"206501.182"
"VISIOMED GROUP DS";"FR0013390820";"VMGDS";"Euronext Growth Paris";"EUR";"0.0098";"0.0139";"0.0063";"0.007";"10/01/2019 17:35";"CET";"8489240";"69279.988"
"VISIOMEDBSA26OCT23";"FR0013321817";"VMGBT";"Euronext Growth Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VIVENDI";"FR0000127771";"VIV";"Euronext Paris";"EUR";"21.84";"22.10";"21.59";"21.78";"10/01/2019 17:39";"CET";"3650388";"79705801.74"
"VIVENDI NV19";"FR0013384070";"VIVNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VOGO";"FR0011532225";"ALVGO";"Euronext Growth Paris";"EUR";"10.95";"10.95";"10.85";"10.85";"10/01/2019 12:21";"CET";"34";"371.50"
"VOLKERWESSELS";"NL0012294466";"KVW";"Euronext Amsterdam";"EUR";"14.78";"14.82";"14.52";"14.56";"10/01/2019 17:35";"CET";"88808";"1303934.20"
"VOLKSWAGEN";"DE0007664005";"VWA";"Traded not listed Brussels";"EUR";"146.00";"146.40";"144.80";"146.40";"10/01/2019 16:39";"CET";"273";"39818.20"
"VOLKSWAGEN PREF";"DE0007664039";"VWAP";"Traded not listed Brussels";"EUR";"140.98";"140.98";"140.98";"140.98";"28/12/2018 16:19";"CET";"4";"563.92"
"VOLTA FINANCE";"GG00B1GHHH78";"VTA";"Euronext Amsterdam";"EUR";"6.70";"6.70";"6.70";"6.70";"10/01/2019 16:55";"CET";"864";"5788.80"
"VOLTALIA";"FR0011995588";"VLTSA";"Euronext Paris";"EUR";"8.93";"8.97";"8.77";"8.87";"10/01/2019 17:29";"CET";"2945";"26206.36"
"VOLUNTIS";"FR0004183960";"VTX";"Euronext Paris";"EUR";"5.019";"5.02";"4.995";"5.02";"10/01/2019 15:16";"CET";"206";"1030.994"
"VOPAK";"NL0009432491";"VPK";"Euronext Amsterdam";"EUR";"43.24";"43.66";"42.97";"43.62";"10/01/2019 17:39";"CET";"326009";"14167908.05"
"VOYAGEURS DU MONDE";"FR0004045847";"ALVDM";"Euronext Growth Paris";"EUR";"125.00";"132.50";"117.50";"130.00";"10/01/2019 17:35";"CET";"3324";"409527.50"
"VRANKEN-POMMERY";"FR0000062796";"VRAP";"Euronext Paris, Brussels";"EUR";"23.50";"23.70";"23.40";"23.70";"10/01/2019 13:35";"CET";"654";"15453.00"
